_id,symbol,timestamp,open,high,low,close,volume
"ObjectId(""65f589d5163e27828843a223"")",BTCUSDT,2024-03-16T11:56:18.000Z,68288.34,68288.34,68285,68285,1.37634
"ObjectId(""65f589d5163e27828843a224"")",BTCUSDT,2024-03-16T11:56:19.000Z,68285,68285,68284.16,68284.17,0.31285
"ObjectId(""65f589d5163e27828843a225"")",BTCUSDT,2024-03-16T11:56:20.000Z,68284.17,68284.17,68284.16,68284.17,0.85202
"ObjectId(""65f589d5163e27828843a226"")",BTCUSDT,2024-03-16T11:56:21.000Z,68284.16,68284.16,68284.16,68284.16,0.21021
"ObjectId(""65f589d5163e27828843a227"")",BTCUSDT,2024-03-16T11:56:22.000Z,68284.16,68284.17,68284.16,68284.16,0.07783
"ObjectId(""65f589d5163e27828843a228"")",BTCUSDT,2024-03-16T11:56:23.000Z,68284.17,68284.17,68284.16,68284.16,0.04665
"ObjectId(""65f589d5163e27828843a229"")",BTCUSDT,2024-03-16T11:56:24.000Z,68284.17,68284.17,68284.16,68284.16,0.10884
"ObjectId(""65f589d5163e27828843a22a"")",BTCUSDT,2024-03-16T11:56:25.000Z,68284.17,68284.17,68284.16,68284.17,0.61059
"ObjectId(""65f589d5163e27828843a22b"")",BTCUSDT,2024-03-16T11:56:26.000Z,68284.16,68284.17,68284.16,68284.16,0.0692
"ObjectId(""65f589d5163e27828843a22c"")",BTCUSDT,2024-03-16T11:56:27.000Z,68284.17,68284.17,68284.16,68284.17,0.07269
"ObjectId(""65f589d5163e27828843a22d"")",BTCUSDT,2024-03-16T11:56:28.000Z,68284.17,68284.17,68284.17,68284.17,0.00145
"ObjectId(""65f589d5163e27828843a22e"")",BTCUSDT,2024-03-16T11:56:29.000Z,68284.17,68284.17,68284.17,68284.17,0.0261
"ObjectId(""65f589d5163e27828843a22f"")",BTCUSDT,2024-03-16T11:56:30.000Z,68284.17,68284.17,68284.16,68284.16,1.46698
"ObjectId(""65f589d5163e27828843a230"")",BTCUSDT,2024-03-16T11:56:31.000Z,68284.16,68284.17,68284.16,68284.16,0.00348
"ObjectId(""65f589d5163e27828843a231"")",BTCUSDT,2024-03-16T11:56:32.000Z,68284.17,68284.17,68276.55,68276.55,1.85545
"ObjectId(""65f589d5163e27828843a232"")",BTCUSDT,2024-03-16T11:56:33.000Z,68276.13,68276.13,68276.12,68276.12,0.02387
"ObjectId(""65f589d5163e27828843a233"")",BTCUSDT,2024-03-16T11:56:34.000Z,68276.12,68276.12,68272.55,68272.56,0.01498
"ObjectId(""65f589d5163e27828843a234"")",BTCUSDT,2024-03-16T11:56:35.000Z,68272.56,68272.56,68272.55,68272.56,0.5037
"ObjectId(""65f589d5163e27828843a235"")",BTCUSDT,2024-03-16T11:56:36.000Z,68272.55,68272.56,68272.55,68272.55,0.02147
"ObjectId(""65f589d5163e27828843a236"")",BTCUSDT,2024-03-16T11:56:37.000Z,68272.56,68274.68,68272.56,68274.68,0.46005
"ObjectId(""65f589d5163e27828843a237"")",BTCUSDT,2024-03-16T11:56:38.000Z,68274.67,68274.68,68274.67,68274.67,0.2637
"ObjectId(""65f589d5163e27828843a238"")",BTCUSDT,2024-03-16T11:56:39.000Z,68274.67,68274.68,68274.67,68274.68,0.20904
"ObjectId(""65f589d5163e27828843a239"")",BTCUSDT,2024-03-16T11:56:40.000Z,68274.68,68274.68,68274.67,68274.67,0.57906
"ObjectId(""65f589d5163e27828843a23a"")",BTCUSDT,2024-03-16T11:56:41.000Z,68274.67,68274.68,68274.67,68274.68,0.10249
"ObjectId(""65f589d5163e27828843a23b"")",BTCUSDT,2024-03-16T11:56:42.000Z,68274.67,68274.68,68274.67,68274.67,0.15214
"ObjectId(""65f589d5163e27828843a23c"")",BTCUSDT,2024-03-16T11:56:43.000Z,68274.68,68274.68,68274.67,68274.67,1.38397
"ObjectId(""65f589d5163e27828843a23d"")",BTCUSDT,2024-03-16T11:56:44.000Z,68274.67,68274.68,68274.67,68274.67,0.20853
"ObjectId(""65f589d5163e27828843a23e"")",BTCUSDT,2024-03-16T11:56:45.000Z,68274.68,68274.68,68274.68,68274.68,0.5
